@relation relation name
@attribute FIPS_COUNTY integer
@attribute FIPS_STATE integer
@attribute USUAL_FOOD_SPEND integer
@attribute TOTAL_FOOD_SPEND_LAST_WEEK integer
@attribute FOOD_WOULD_SPEND_MORE integer
@attribute FOOD_SPEND_INCREASE_WEEK integer
@attribute RECEIVED_SNAP integer
@data
17,6,50,200,1,10,2
17,6,250,330,2,-1,-1
17,6,250,330,2,-1,-1
17,6,250,330,2,-1,-1
17,6,250,330,2,-1,-1
19,6,120,200,3,-1,-1
19,6,120,200,3,-1,-1
19,6,100,210,1,100,2
19,6,100,210,1,100,2
19,6,100,210,1,100,2
19,6,100,210,1,100,2
19,6,100,210,1,100,2
19,6,100,210,1,100,2
19,6,100,210,1,100,2
19,6,100,210,1,100,2
19,6,70,30,2,-1,-1
19,6,70,200,3,-1,-1
19,6,70,200,3,-1,-1
19,6,130,130,2,-1,-1
19,6,130,130,2,-1,-1
19,6,200,230,1,50,1
19,6,200,230,1,50,1
19,6,200,230,1,50,1
19,6,200,230,1,50,1
19,6,200,230,1,50,1
19,6,300,300,2,-1,-1
19,6,300,300,2,-1,-1
19,6,300,300,2,-1,-1
19,6,300,300,2,-1,-1
19,6,300,300,2,-1,-1
29,6,50,50,2,-1,-1
37,6,180,310,2,-1,-1
37,6,180,310,2,-1,-1
37,6,200,380,2,-1,-1
37,6,60,80,3,-1,-1
37,6,60,80,3,-1,-1
37,6,90,20,2,-1,-1
37,6,450,470,2,-1,-1
37,6,450,470,2,-1,-1
37,6,70,70,2,-1,-1
37,6,200,300,2,-1,2
37,6,200,300,2,-1,2
37,6,200,300,2,-1,2
37,6,30,40,3,-1,-1
37,6,150,120,2,-1,-1
37,6,90,90,3,-1,1
37,6,100,150,3,-1,-1
37,6,100,150,3,-1,-1
37,6,100,150,3,-1,-1
37,6,100,150,3,-1,-1
37,6,220,220,3,-1,-1
37,6,220,220,3,-1,-1
37,6,70,80,3,-1,-1
37,6,300,270,1,100,2
37,6,300,270,1,100,2
37,6,300,270,1,100,2
37,6,300,270,1,100,2
37,6,60,90,2,-1,-1
37,6,80,80,3,-1,-1
37,6,80,80,3,-1,-1
37,6,80,80,3,-1,-1
37,6,80,80,3,-1,-1
37,6,-1,-1,-1,-1,-1
37,6,-1,-1,-1,-1,-1
