"FIPS_COUNTY","FIPS_STATE","USUAL_FOOD_SPEND","TOTAL_FOOD_SPEND_LAST_WEEK","FOOD_NEED_MORE","FOOD_SPEND_INCREASE_WEEK","RECEIVED_SNAP","NOT_AFFORD_BALANCED_MEALS"
"000","26",20,0,3,-1,2,3
"000","26",40,30,3,-1,-1,-1
"000","26",100,120,3,-1,-1,-1
"000","26",100,120,3,-1,-1,-1
"000","26",100,120,3,-1,-1,-1
"000","26",80,80,3,-1,-1,-1
"000","26",80,80,3,-1,-1,-1
"161","26",130,130,2,-1,-1,-1
"161","26",130,130,2,-1,-1,-1
"161","26",200,250,2,-1,-1,-1
"161","26",200,250,2,-1,-1,-1
"161","26",200,250,2,-1,-1,-1
"000","27",-1,-1,-1,-1,-1,-1
"000","27",-1,-1,-1,-1,-1,-1
"163","27",-1,-1,-1,-1,-1,-1
"000","29",-1,-1,-1,-1,-1,-1
"000","29",150,300,2,-1,-1,-1
"000","29",150,300,2,-1,-1,-1
"000","29",150,300,2,-1,-1,-1
"000","29",40,280,2,-1,2,3
"000","29",40,280,2,-1,2,3
"000","29",40,280,2,-1,2,3
"000","29",40,280,2,-1,2,3
"000","29",60,80,3,-1,2,1
"000","29",280,0,3,-1,-1,-1
"000","29",280,0,3,-1,-1,-1
"000","29",80,80,1,30,-1,-1
"000","29",80,80,1,30,-1,-1
"000","29",80,80,1,30,-1,-1
"000","29",80,80,1,30,-1,-1
"000","29",-1,-1,-1,-1,-1,-1
"000","29",-1,-1,-1,-1,-1,-1
"000","29",480,480,2,-1,-1,3
"000","29",480,480,2,-1,-1,3
"000","29",480,480,2,-1,-1,3
"000","29",480,480,2,-1,-1,3
"000","29",90,90,2,-1,2,3
"000","29",90,90,2,-1,2,3
"000","29",200,370,2,-1,-1,-1
"000","29",200,370,2,-1,-1,-1
"000","29",-1,-1,-1,-1,-1,-1
"000","29",-1,-1,-1,-1,-1,-1
"000","29",-1,-1,-1,-1,-1,-1
"000","29",-1,-1,-1,-1,-1,-1
"000","29",150,80,3,-1,-1,3
"000","29",150,80,3,-1,-1,3
"000","29",60,50,2,-1,-1,-1
"000","29",60,50,2,-1,-1,-1
"000","29",80,80,3,-1,2,3
"000","29",80,80,3,-1,2,3
"000","29",80,80,3,-1,2,3
"000","29",80,0,3,-1,1,3
"000","29",80,0,3,-1,1,3
"003","32",250,320,2,-1,-1,-1
"003","32",250,320,2,-1,-1,-1
"003","32",250,320,2,-1,-1,-1
"003","32",250,320,2,-1,-1,-1
"003","32",-1,-1,-1,-1,-1,-1
"017","41",40,90,2,-1,-1,-1
"000","41",-1,0,-1,-1,2,3
"000","41",150,110,3,-1,-1,-1
"000","41",120,400,1,180,1,2
"000","41",120,400,1,180,1,2
"000","41",120,400,1,180,1,2
"000","41",120,400,1,180,1,2
"000","41",120,10,3,-1,-1,-1
"000","41",120,10,3,-1,-1,-1
"000","41",120,10,3,-1,-1,-1
"000","53",80,80,3,-1,2,3
"000","53",-1,-1,-1,-1,-1,-1
"000","53",-1,-1,-1,-1,-1,-1
"000","02",-1,0,-1,-1,-1,-1
"000","02",-1,0,-1,-1,-1,-1
"000","05",120,120,3,-1,-1,-1
"000","05",120,120,3,-1,-1,-1
"000","05",190,250,2,-1,-1,-1
"000","16",-1,-1,-1,-1,-1,-1
"000","16",100,400,2,-1,-1,-1
"000","29",50,90,2,-1,2,3
"003","32",-1,-1,-1,-1,-1,-1
"000","32",-1,-1,-1,-1,-1,-1
"000","41",-1,200,-1,-1,-1,-1
"000","41",-1,200,-1,-1,-1,-1
"000","41",80,100,3,-1,-1,2
"000","41",250,250,3,-1,2,3
"000","41",250,250,3,-1,2,3
"000","41",250,250,3,-1,2,3
"000","41",250,250,3,-1,2,3
"000","41",250,250,3,-1,2,3
"000","41",250,250,3,-1,2,3
"000","41",250,250,3,-1,2,3
"000","41",250,250,3,-1,2,3
"000","41",-1,-1,-1,-1,-1,-1
"000","41",140,280,2,-1,-1,-1
"000","41",140,280,2,-1,-1,-1
"003","01",100,90,2,-1,-1,-1
"003","01",200,180,3,-1,-1,3
"003","01",200,180,3,-1,-1,3
"003","01",200,180,3,-1,-1,3
"003","01",200,180,3,-1,-1,3
"003","01",200,180,3,-1,-1,3
"003","01",200,170,3,-1,2,3
"003","01",200,170,3,-1,2,3
"000","01",80,250,3,-1,2,3
"000","01",80,250,3,-1,2,3
"000","01",40,20,3,-1,2,3
"000","01",150,350,2,-1,-1,-1
"000","01",150,350,2,-1,-1,-1
"000","01",150,350,2,-1,-1,-1
"000","01",150,350,2,-1,-1,-1
"000","01",-1,90,-1,-1,2,2
"000","01",-1,120,-1,-1,-1,-1
"000","01",-1,120,-1,-1,-1,-1
"000","01",50,50,3,-1,2,2
"000","01",50,50,3,-1,2,2
